Award Year,Organization Receiving Award,Use of Funds,Award Type,Amount,Type of Assistance
FY2021,"BAES HOT CHICKEN LLC / 1611 Bybee Investors, LLC",Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,"Sienna Art Studios LLC / Workshop Cathedral Owner, LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Sun Dragon Inc / Dover Lane, LLC",Commercial Rent Relief,Grant,17000,Commercial Rent Relief and Operational Assistance
FY2021,Little Otters Inc / park shore complex,Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,Wendy Jensen LCSW / Awakenings Wellness Center,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"PUB STREET GRILL & BAR LLC / Cascade Brewing Company, LLC",Commercial Rent Relief,Grant,34000,Commercial Rent Relief and Operational Assistance
FY2021,"US WORLD CLASS TAEKWONDO / Bethany Village Offices, LLC",Commercial Rent Relief,Grant,49000,Commercial Rent Relief and Operational Assistance
FY2021,"Forte Music School, Inc / Bethany Village Offices, LLC",Commercial Rent Relief,Grant,35000,Commercial Rent Relief and Operational Assistance
FY2021,Owl Boo / 925 Nineteenth LLC,Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,"Local Grind LLC / Rose City Pre-Cut Buildings, Incorporated",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,"Upper Left Roasters / Ladd Corner, LLC",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"Grand Army Tavern LLC / LiveWEL, LLC",Commercial Rent Relief,Grant,60000,Commercial Rent Relief and Operational Assistance
FY2021,"PDXstrength / Workshop Cathedral Owner, LLC",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,CASCADE CONCEPTS LLC / Brent Douglas,Commercial Rent Relief,Grant,40000,Commercial Rent Relief and Operational Assistance
FY2021,Cascadia Partners LLC / Stacey Y Cheng Trust and Pamela L Cheng Trust,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Bitterman and Sons, Inc. / Singer Family LLC",Commercial Rent Relief,Grant,45000,Commercial Rent Relief and Operational Assistance
FY2021,pharmacy.com / Powell Street 1 LLC,Commercial Rent Relief,Grant,500,Commercial Rent Relief and Operational Assistance
FY2021,Yoonique Tea / Oblio LLC,Commercial Rent Relief,Grant,35000,Commercial Rent Relief and Operational Assistance
FY2021,"The Waypost, LLC / n/a",Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,"La Sirenita #2 INC / La Constanza, LLC",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,R Crew the Salon / GPO Morgan LLC,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,Milk and Honey LLC dba Devil's Food Catering / Gotham Building LLC,Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,"Hush Hush Express, Inc dba Sophia Mediterranean Cuisine / GPO Morgan LLC",Commercial Rent Relief,Grant,56000,Commercial Rent Relief and Operational Assistance
FY2021,ENSO Winery LLC / Leo Arfer Client Trust,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Hug A Bubbas Doggie Daycare & Grooming / David S Stoner Charitable Remainder Unitrust,Commercial Rent Relief,Grant,11000,Commercial Rent Relief and Operational Assistance
FY2021,Beer Portland LLC / Leo Arfer Client Trust,Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,"Oh planning+design, architecture llc / 115 NW First Holdings LLC",Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,Hyatt Training LLC / Unico BOP Fitzgibbons Glass LLC,Commercial Rent Relief,Grant,60000,Commercial Rent Relief and Operational Assistance
FY2021,Convention center auto body / 630MLK LLC,Commercial Rent Relief,Grant,32000,Commercial Rent Relief and Operational Assistance
FY2021,Mac's Restaurant Group LLC DBA Petisco / 1411 Building LLC,Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,"West Place llc / Overton Partners, LLC",Commercial Rent Relief,Grant,100000,Commercial Rent Relief and Operational Assistance
FY2021,"Atelier Spellbound LLC / Pioneer Courthouse Square, Inc.",Commercial Rent Relief,Grant,11000,Commercial Rent Relief and Operational Assistance
FY2021,Fit Oregon LLC / The Heritage Building LLC,Commercial Rent Relief,Grant,29000,Commercial Rent Relief and Operational Assistance
FY2021,"E&M Bindery, Inc. / Inkster Commercial Holdings, LLC",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"Urbantopia, LLC / GPO Morgan LLC",Commercial Rent Relief,Grant,15000,Commercial Rent Relief and Operational Assistance
FY2021,Community of Bikram Yoga Fremont Street / PCF Properties LLC,Commercial Rent Relief,Grant,28000,Commercial Rent Relief and Operational Assistance
FY2021,"Refinery Fitness, LLC / PCF Properties LLC",Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,"Zufelt Enterprises, LLC / MVPSC, LLC",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,Defining Image LLC / PCF Properties LLC,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,Fancy's LLC / River Presentation LLC,Commercial Rent Relief,Grant,38000,Commercial Rent Relief and Operational Assistance
FY2021,"CLOUDS REST LLC / 3808 Williams, LLC",Commercial Rent Relief,Grant,40000,Commercial Rent Relief and Operational Assistance
FY2021,"Eat Group Inc / 3808 Williams, LLC",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"JPM Enterprises, LLC / CAP One, LLC",Commercial Rent Relief,Grant,36000,Commercial Rent Relief and Operational Assistance
FY2021,"Eem llc / 3808 Williams, LLC",Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"Bluefin Tuna & Sushi / CAP One, LLC",Commercial Rent Relief,Grant,73000,Commercial Rent Relief and Operational Assistance
FY2021,"Make and Take Studio / 3808 Williams, LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,Adrianne Cadbury / Awakenings Wellness Center,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,The Melody Event Center / Melody Ballroom Investments LLC,Commercial Rent Relief,Grant,100000,Commercial Rent Relief and Operational Assistance
FY2021,"RUSS FAMILY CHIROPRACTIC LLC / 4152 NE SANDY, LLC",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,Brix Tavern LLC / Marketplace I&II,Commercial Rent Relief,Grant,49000,Commercial Rent Relief and Operational Assistance
FY2021,Kun?s inc / Macadam Warehouse Properties,Commercial Rent Relief,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,"MindWise Therapy, LLC / Awakenings Wellness Center",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Happy Dragon Chinese Restaurant /,Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,"Tee?s Nails and Skin Care / Oak Hills Village, LLC",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"Rhead Chiropractic / Wardin Investment Co., LLC",Commercial Rent Relief,Grant,500,Commercial Rent Relief and Operational Assistance
FY2021,"5 flavors llc / Oak Hills Village, LLC",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,"bwell counseling / Wardin Investment Co., LLC",Commercial Rent Relief,Grant,500,Commercial Rent Relief and Operational Assistance
FY2021,"GeniusPDX LLC / NE Broadway, LLC",Commercial Rent Relief,Grant,36000,Commercial Rent Relief and Operational Assistance
FY2021,Hebrank Arts Inc / Pine Street Studios LLC,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"Office Furniture Direct, LLC / Plaza Properties, LLC",Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,Night Flight LLC / Pine Street Studios LLC,Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,"Vesper School of Music, LLC / William Stewart and Michelle Rankin",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,ONC LLC / New Seasons Market LLC,Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,Snap Fitness Bethany / Aspen Newfoundland LLC,Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,"Pure Genius of Portland, LLC / Aspen Newfoundland LLC",Commercial Rent Relief,Grant,37000,Commercial Rent Relief and Operational Assistance
FY2021,"Fournier Group, Inc. / Capland Master Tenant",Commercial Rent Relief,Grant,29000,Commercial Rent Relief and Operational Assistance
FY2021,Baker & Spice LLC / WARDIN & SON LLC,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,Baker & Spice LLC / WARDIN & SON LLC,Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Hillsdale Food Park, LLC / AJA LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Crisp Northwest Corporation / 3901 Williams LLC,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,SAINT HONORE BROADWAY LLC / GPO Morgan LLC,Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"Lightning Will / Athene Investments, LLC",Commercial Rent Relief,Grant,63000,Commercial Rent Relief and Operational Assistance
FY2021,Tilde Inc / Stevens Office Building LLC,Commercial Rent Relief,Grant,22000,Commercial Rent Relief and Operational Assistance
FY2021,"NJ Tanning & Airbrushing LLC / MVPSC, LLC",Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"Be salon and spa / Wardin Investment Co., LLC",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"BE Salon And Spa / Wardin Investment Co., LLC",Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,Worn Path / 2 Mississippi LLC,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,Trijay properties llc / CSC Gallery Park Realty LLC,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"House Nine LLC / KBC Mgmt, Inc.",Commercial Rent Relief,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,The Fresh Pot Co. / 2 Mississippi LLC,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,Coy & Co. LLC / 811 Burnside LLC,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,Sound Body LLC / Gotham Building LLC,Commercial Rent Relief,Grant,19000,Commercial Rent Relief and Operational Assistance
FY2021,"Munden Family LLC, dba Mama Mia Trattoria / The Waldo Block LLC",Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,B&G Hospitality / SANVIG LLC,Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,"Forest Heights Cleaners / GSP, LLC",Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,Prism Fit LLC / 3961 N. Williams LLC,Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"Laurel D. Oziel, LCSW / GPO Morgan LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Ay Caramba LLC /,Commercial Rent Relief,Grant,18000,Commercial Rent Relief and Operational Assistance
FY2021,Someday PDX LLC / Invisible LLC,Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,the bothy inc // dba :: Sweedeedee / Mississippi Records,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"World Champion Taekwondo / GSP, LLC",Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,"Orox Leather Co. / Goldsmith Blocks, LLC",Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,Alley mezza / Invisible LLC,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Trijay Properties, LLC / GSP, LLC",Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,"Tinyora LLC / GSP, LLC",Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,Tanner GoodsLLC / UnionJac LLC,Commercial Rent Relief,Grant,11000,Commercial Rent Relief and Operational Assistance
FY2021,HumbleHungryHappy LLC / 940 SE MADISON LLC,Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,"Designated Driver LLC / Chocolate Building, LLC",Commercial Rent Relief,Grant,82000,Commercial Rent Relief and Operational Assistance
FY2021,"Ride with GPS, LLC / Chocolate Building, LLC",Commercial Rent Relief,Grant,70000,Commercial Rent Relief and Operational Assistance
FY2021,"PixelSpoke / OTB, LLC",Commercial Rent Relief,Grant,46000,Commercial Rent Relief and Operational Assistance
FY2021,Voicebox Inc / Tualatin Investments,Commercial Rent Relief,Grant,57000,Commercial Rent Relief and Operational Assistance
FY2021,"Teadora, Inc. / Spectre, LLC c/o Wyse Investment Services Company",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"Banshee Vintage LLC / Burnside General Stores, LLC",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Petunias Pies & Pastries / Weatherly Creamery Building, LLC",Commercial Rent Relief,Grant,15000,Commercial Rent Relief and Operational Assistance
FY2021,European Master Tailor / GPO Morgan LLC,Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,"Floating World Comics, LLC / Goldsmith Blocks, LLC",Commercial Rent Relief,Grant,22000,Commercial Rent Relief and Operational Assistance
FY2021,"Mat-2424, LLC / Burnside General Stores, LLC",Commercial Rent Relief,Grant,72000,Commercial Rent Relief and Operational Assistance
FY2021,"Quicksilver Neon and Signs Inc / Cornelius Pass Business Park, LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"New Creation Coffee LLC / KBC Mgmt, Inc.",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,XinhXinh LLC / 940 SE MADISON LLC,Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,Strike Force Inc dba Please Louise / Block 296 Slabtown LLC,Commercial Rent Relief,Grant,18000,Commercial Rent Relief and Operational Assistance
FY2021,The Solo Club / Block 296 Slabtown LLC,Commercial Rent Relief,Grant,58000,Commercial Rent Relief and Operational Assistance
FY2021,Dangermond Keane Architecture / 925 Nineteenth LLC,Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,"ACCCLC1 (LLC sub of Al Cavagnero Associates, Inc) / Block 296 Slabtown LLC",Commercial Rent Relief,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,Two Things Inc / 925 Nineteenth LLC,Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,Newaza Fitteds LLC / 925 Nineteenth LLC,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"Inventure Labs, LLC / 925 Nineteenth LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Edward Wickwire, LMT / 917 Oak LLC",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,Freeman Enterprises / The Pickle Factory LLC,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,Jason DeSomer Photography / Loring Street Building LLC,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,Bellini's Inc / Irving Street LLC,Commercial Rent Relief,Grant,19000,Commercial Rent Relief and Operational Assistance
FY2021,Vancouver street market LLC / Clothing manufacturing,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,Radiance Nails / Irving Street LLC,Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Kelso Sauna & Spa, Inc. DBA Loyly Sauna / GJG1700 LLC, MPG1700 LLC, and Front & Pine LLC",Commercial Rent Relief,Grant,25000,Commercial Rent Relief and Operational Assistance
FY2021,"PGPDX, LLC / Singer Family LLC",Commercial Rent Relief,Grant,25000,Commercial Rent Relief and Operational Assistance
FY2021,B & T Printing / Dublin LLC,Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"Masu Sushi, Inc. / 1234 Building LLC",Commercial Rent Relief,Grant,31000,Commercial Rent Relief and Operational Assistance
FY2021,SweetSeats LLC / Southern Miss LLC,Commercial Rent Relief,Grant,100000,Commercial Rent Relief and Operational Assistance
FY2021,"Margolis Legal / Studio Arts Building, LLC",Commercial Rent Relief,Grant,57000,Commercial Rent Relief and Operational Assistance
FY2021,Odessa Boutique LLC / 1234 Building LLC,Commercial Rent Relief,Grant,18000,Commercial Rent Relief and Operational Assistance
FY2021,Spielman Coffee and Bagel Company LLC / 2200 Broadway LLC,Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,Marigold Works LLC / BA & DA Hawthorne LLC,Commercial Rent Relief,Grant,58000,Commercial Rent Relief and Operational Assistance
FY2021,Chris Durand / ROCNUGG LLC,Commercial Rent Relief,Grant,26000,Commercial Rent Relief and Operational Assistance
FY2021,"Big Bear Bars LLC / Chaney, Chaney, & Peterson",Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,Alsace Group LLC / Fujin Two LLC,Commercial Rent Relief,Grant,18000,Commercial Rent Relief and Operational Assistance
FY2021,Triss Fifer PC / Eastern Western Corporation,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,BCS Portland LLC / McKinley Building LLC,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Nakita?s Esspresso Deli / American Industries, Inc.",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"UP Portland, LLC / Studio Arts Building, LLC",Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,Rice Cafe / Fujin Two LLC,Commercial Rent Relief,Grant,25000,Commercial Rent Relief and Operational Assistance
FY2021,Portland Game Store Group / Raindrop Management,Commercial Rent Relief,Grant,26000,Commercial Rent Relief and Operational Assistance
FY2021,DBMovement LLC / 910 Hoyt LLC,Commercial Rent Relief,Grant,58000,Commercial Rent Relief and Operational Assistance
FY2021,"Virginia Cafe Inc / PDX Holding, LLC",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,Studio Blue LLC / Eastern Western Corporation,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"Vista Restaurants, LLC / Clyde Hotel Building LLC",Commercial Rent Relief,Grant,66000,Commercial Rent Relief and Operational Assistance
FY2021,Figure 8 Sound / Loring Street Building LLC,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Polly Gravely Counseling / Eastern Western Corp,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"Kabinett PDX, llc / Northwest Self Storage",Commercial Rent Relief,Grant,11000,Commercial Rent Relief and Operational Assistance
FY2021,Multnomah Whiskey Library / AP&J Corporation,Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,The Green Room / Multnomah Whiskey Library / AP&J Corporation,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Baby to Baby, LLC / David S Stoner Charitable Remainder Unitrust",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,"Bollywood Browz / Siena Capital, LLC",Commercial Rent Relief,Grant,17000,Commercial Rent Relief and Operational Assistance
FY2021,"Baby to Baby, LLC / David S Stoner Charitable Remainder Unitrust",Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,"Chestbump Unlimited, LLC / Convention Center LLC",Commercial Rent Relief,Grant,48000,Commercial Rent Relief and Operational Assistance
FY2021,Mother's Bistro & Bar LLC / Ashford TRS PH LLC aba Embassy Suites Hotel Portland Downtown,Commercial Rent Relief,Grant,100000,Commercial Rent Relief and Operational Assistance
FY2021,"We Know Good, Inc dba Noble Rot / Maloney Lauersdorf Reiner",Commercial Rent Relief,Grant,23000,Commercial Rent Relief and Operational Assistance
FY2021,"Pensole Inc / Goldsmith Blocks, LLC",Commercial Rent Relief,Grant,100000,Commercial Rent Relief and Operational Assistance
FY2021,Metro Boutique / Douglas Building LLC,Commercial Rent Relief,Grant,42000,Commercial Rent Relief and Operational Assistance
FY2021,Sushi Mazi Incorporated / Mt Baker LLC,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Pine Mountain Ranch / Spahmer Rentals,Commercial Rent Relief,Grant,41000,Commercial Rent Relief and Operational Assistance
FY2021,Uncle Coffee LLC / IBC,Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,"1031 SW Columbia Avenue LLC / DBA Bishops Barbershop LLC / POR APT 2, LLC",Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Wild Pet Provisions LLC / H. Wagner LLC,Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,Sweet Orange Inc. / Ron Paul Building LLC,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Namaste Indian Restaurant / NE Broadway, LLC",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,Praxis Beverages LLC / H Wagner LLC,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Poa Cafe, Inc / 4025 N WILLIAMS, LLC",Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,Begin Pilates / H Wagner LLC,Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,"B3 Studios LLC / 4025 N WILLIAMS, LLC",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,L&Q NAILS LLC / Century Associates LLC,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"B3 Studios LLC / 4025 N WILLIAMS, LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,Tikva Counseling DBA Portland Family Counseling /,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,Lark + Fir Realty LLC / 7858 SW Capitol LLC,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,Point of Action Physical Medicine LLC / 80 SE Madison LLC,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"LD Gold, Inc.. dba Epic Auto Body /",Commercial Rent Relief,Grant,22000,Commercial Rent Relief and Operational Assistance
FY2021,"Stephen Shostek Counseling Services / MARIMAR PROPERTIES, LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Lavande Nail And Spa / PRIT CORE 501 (c) (25) LLC, Asa Flats and Lofts",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Oberdorfer Law Firm LLC / W&M The Stem, LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Welcome to JamRock / Rose City Rentals II LLC,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Breaker House, LLC /",Commercial Rent Relief,Grant,55000,Commercial Rent Relief and Operational Assistance
FY2021,"Ursula Barton LLC / Forge Works, LLC",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"Magnus LLC / Forge Works, LLC",Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,"Revolution Design House / Forge Works, LLC",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Brazil Grill LLC / John Niemeyer,Commercial Rent Relief,Grant,46000,Commercial Rent Relief and Operational Assistance
FY2021,Robb Crocker / New Day Associates LLC,Commercial Rent Relief,Grant,61000,Commercial Rent Relief and Operational Assistance
FY2021,Ferguson Consulting/Publishing LLC /,Commercial Rent Relief,Grant,72000,Commercial Rent Relief and Operational Assistance
FY2021,"Bedmart, Inc / Scholls Ferry, LLC",Commercial Rent Relief,Grant,38000,Commercial Rent Relief and Operational Assistance
FY2021,"Lightlite / Forge Works, LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,rankans bar and bites / N&S Oil LLC,Commercial Rent Relief,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,"Schweitz Salon, Inc. / Sobrato Development Company No. 90",Commercial Rent Relief,Grant,11000,Commercial Rent Relief and Operational Assistance
FY2021,Twill llc / Douglas Building LLC,Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"Benner Stange Associates Architects, Inc. / 80 SE Madison LLC",Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"Lux Cryo / Sobrato Development Company No. 90, LLC",Commercial Rent Relief,Grant,37000,Commercial Rent Relief and Operational Assistance
FY2021,Reynolds Optical Co. / Douglas Building LLC,Commercial Rent Relief,Grant,17000,Commercial Rent Relief and Operational Assistance
FY2021,tender loving empire / Douglas Building LLC,Commercial Rent Relief,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,Krause Foods LLC / Fujin Two LLC,Commercial Rent Relief,Grant,11000,Commercial Rent Relief and Operational Assistance
FY2021,American Cinema Equipment Inc. / Dover Lane LLC,Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,Portland Wine Merchants / Douglas Building LLC,Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Club Sinrock Dt, LLC / TRC Burnside LLC",Commercial Rent Relief,Grant,100000,Commercial Rent Relief and Operational Assistance
FY2021,"Reckless Heart, LLC / The Oak Street Bldg. LLC",Commercial Rent Relief,Grant,17000,Commercial Rent Relief and Operational Assistance
FY2021,Bob Edelstein LLC / BZB Properties LLC,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Outhouse, LLC / 3342 SE Belmont St LLC",Commercial Rent Relief,Grant,60000,Commercial Rent Relief and Operational Assistance
FY2021,Joyfield Corporation / Sobrato Development Company No 90,Commercial Rent Relief,Grant,18000,Commercial Rent Relief and Operational Assistance
FY2021,Ambrosia Global LLC / Everett Street LLC,Commercial Rent Relief,Grant,31000,Commercial Rent Relief and Operational Assistance
FY2021,"Rhino Digital Printing Inc / La Noue Development, LLC",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,Porch Light / Everett Street LLC,Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"MMIO / Best Partners Group, LLC",Commercial Rent Relief,Grant,43000,Commercial Rent Relief and Operational Assistance
FY2021,"Anne Cuthbert Counseling, LLC / La Noue Development, LLC",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,"Moving Mountain Institute / La Noue Development, LLC",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,O&S LLC / Everett Street LLC,Commercial Rent Relief,Grant,59000,Commercial Rent Relief and Operational Assistance
